Sign_Order,Sign_Order_Num,Fortune_Level,Poem_Title,Poem_Text,Holy_Meaning,Sign_Interpretation,Divine_Guidance,Allusion
第 37 籤,37,中籤申宮,李靖歸山,欲待身安運泰時，風中燈燭不相宜；不如收拾深堂坐，庶免光搖靜處明。,這個卦風搖燈燭之象，凡事守常則吉也。,靜處安身 待命守時 動惹非福 守舊無疑,家宅守舊    行人有信   山墳勿改    六畜安    自身平平   田蠶秋熟    求財有    尋人見   婚姻不合    移徙守舊    交易難   公訟和    六甲祈保    疾病禳星,李靖歸山。托塔天王李靖。為封神榜人物。塔能鎮魔。李靖父子(哪吒)協姜子牙伐紂興週。周武王立國初論功行賞。李靖父子不戀世間的功名得祿。辭賞歸山修道。後父​​子七人都是肉身成聖。喻風雲(名利)與燭光(修道)不相合。欲要得道。須棄名利。兩者不可兼得。
第 38 籤,38,下籤申宮,何文秀遇難,月照天書靜處期，忽遭雲霧又昏迷；寬心祈待雲霞散，此時更改好施爲。,此卦雲霧遮月之象，凡事未遂守舊也。,家道憂兇 人口有災 祈福保慶 猶恐破財,"家宅不安　六甲虛驚　行人阻　公訟和
自身祈保　疾病延安　田蠶損　移徙安
交易待時　山墳宜修　六畜損　失物虛
婚姻難合　求財難　尋人遇",何文秀遇難。窮書生何文秀琅琅書聲。感動了富家女王瓊珍。吹簫與之相和。兩人相愛出奔海寧。何文秀被陷入獄。王瓊珍剪髮改容。歷盡艱辛。終成眷屬。（玉釵記）
第 39 籤,39,下籤酉宮,姜女尋夫,天邊消息實難思，切莫多心望強求；若把石頭磨作鏡，曾知枉費己工夫。,此卦守常安靜之象，凡事守己則吉也。,千般用計 枉費功夫 不如守舊 着甚來由,"疾病歿送安　山墳大吉　行人動　公訟虧
自身提防　家宅安　田蠶利　移徙平
求財平平　交易阻　六畜損　失物空
婚姻不合　六甲女　尋人難",姜女尋夫。野史。秦。孟姜女。夫範杞郎(萬喜良)。新婚奉命作長城之役。姜女往尋之。及至。知夫已死。欲尋骸骨歸葬。神爲指處咬指出血。點認夫骨。號慟大哭。長城爲之崩。婦人守節。自孟女始。
第 40 籤,40,中籤酉宮,武則天登位,紅輪西墜兔東昇，陰長陽消百事亭；若是女人宜望用，增添財祿福其心。,此卦陰長陽消之象，凡事先難後易也。,陰利女人 不宜男子 若是求謀 先兇後吉,"家宅不利　移徙大吉　六甲虛　尋人隔
自身祈福　疾病有驚　行人阻　公訟虧
求財守待　山墳大吉　田蠶旺　失物空
婚姻不合　交易吉　六畜旺",武則天登位。武則天本唐太宗之妃。高宗即位。成爲皇后。高宗逝世。上朝攝政。後自立則天皇帝。改國號曰周。執政十五年。頗多建樹。以八十二歲高齡退位。但手段卑劣。
第 41 籤,41,中籤酉宮,董卓收呂布,無限好言君記取，卻爲認賊將作子；莫貪眼下有些甜，更慮他年前樣思。,此卦認賊作子之象，凡事認真防假。,只這一着 君子莫錯 牢記在心 不生寂寞,"家宅不安　六甲男驚　疾病禳星　行人至
自身平常　田蠶半熟　山墳中平　六畜安
求財守待　公訟宜和　交易難　尋人至
婚姻未合　移徙祈保",董卓收呂布。三國演義。梟雄董卓。以良馬和金錢收賣呂布。又認呂布爲義子。後呂布私通董卓愛妾貂蟬。二人交惡。呂布與王允共謀殺董卓。並勸王允盡誅董卓部屬。後呂布敗於曹操。被曹操擒殺。
第 42 籤,42,上籤酉宮,目蓮救母,君皇聖後總爲恩，復待祈禳無損增；一切有情皆受用，人間天上得期亨。,此卦天垂恩澤之象，凡事成就大吉也。,天皇降恩 始終莫忘 晨昏禮佛 可宜燒香,"家宅祈福　六甲平安　交易成　失物空
自身冬吉　田蠶中平　行人動　疾病解
求財未有　六畜中平　尋人見　山墳安
婚姻中吉　移徙守舊　公訟勝",目蓮是佛門的尊者。有神通。他的母親作惡多端。死後在地獄的餓鬼道受苦。目蓮設法救度其母。求助於佛祖。佛祖唯有叫目蓮設盂蘭盆會。供養十方僧侶。並由諸天菩薩施法。目連照着佛祖的指示去做。終於解救自己的母親。並普渡了別人的父母親。由是農曆七月十五爲盂蘭盆節。佛教稱爲「盂蘭盆」法會。後演變爲中元普渡。
第 43 籤,43,上籤戌宮,行者得道,天地變通萬物全，自營自養自安然；生羅萬象皆精彩，事事如心謝聖賢。,此卦大地交泰之象，凡事大吉無危也。,天生萬物 謀望皆通 福德相助 瑞氣匆匆,"山墳東西吉　失物東西　求財有　尋人見
行人有阻　疾病禳星　交易利　公訟勝
田蠶中平　家宅吉　婚姻合　移徙利
六畜中平　自身安　六甲男",行者得道。西遊記載。行者本爲花果山猴王。訪求仙法。拜須菩提祖師作師父。祖師賜姓孫。法名悟空。歷七年也不知何者爲道。祖師打悟空頭三下又倒揹着手。悟空明白打三下即三更時份。倒揹着手指從後門授道。於是祖師授悟空長生之道。又過三年。更修得七十二變。離家二十年後。返回花果山。
第 44 籤,44,中籤戌宮,姜維鄧艾鬥陣,棋逢敵手着相宜，黑白盤中未決時；皆因一着知勝敗，須教自有好推宜。,此卦棋逢敵手之象，凡事用機關則吉也。,欲求心事 恰如圍棋 到底勝利 宜用心機,"家宅大利　移徙守舊　交易利　六畜損
自身平穩　疾病祈保　六甲女　尋人阻
婚姻未合　山墳守舊　行人阻　失物空
公訟宜和　求財遂　田蠶平",姜維鄧艾鬥陣。三國時。姜維(蜀)與鄧艾(魏)會師祈山。二人皆擺八卦陣。姜維又擺長蛇陣。鄧艾被困。得司馬望救出。喻世事如棋。一子莫錯。
第 45 籤,45,上籤戌宮,仁宗認母,溫柔自古勝剛強，積善之門大吉昌；若是有人佔此卦，宛如正渴遇瓊漿。,此卦積善溫柔之象，凡事貴人和合也。,天地有感 應驗非常 佛神護佑 得之莫忘,"山墳東西吉　疾病祈福　交易利　尋人見
田蠶秋利　家宅吉　婚姻合　公訟勝
六畜中平　自身安　六甲男　移徙利
失物東方　求財遂　行人阻",仁宗認母。宋李後。爲劉後與奸佞郭槐所害。李後所懷太子生後被換狸貓。李後乃宋真宗妃。給劉妃陷害。把狸貓剝皮去尾。調換太子。李後被打入天牢。劉後又迫害李後。李後逃出天牢後乞食。哭泣至失明。包公審此案。夜審郭槐。真相大白。仁宗皇帝在八王爺等安排下，擺起輦駕，親自到破窯皇帝母子相會迎回親孃。每天焚香禱告，祈求上天爲母親賜福。不久，李太后的眼睛果然又重見光明。
第 46 籤,46,中籤戌宮,渭水釣魚,勸君耐守舊生涯，把定心腸勿起歹；直待有人輕着力，枯枝老樹再生花。,此卦枯木生花之象，凡事自有成就也。,守舊守舊 事自成就 動則多殃 靜則無咎,"求財待時　疾病求福　婚姻就　公訟吉
六甲生女　家宅安　行人阻　失物空
田蠶五分　自身吉　六畜難　山墳吉
移徙守舊　交易成　尋人杳",渭水釣魚。周。姜尚。字子牙。汲人(東海許州人)。道號飛熊。先世封於呂。亦曰呂望。避紂亂居東海之濱。釣於磻溪(渭水)。其鉤爲直。意不在魚。志在君相。文王聞其賢。聘爲師(丞相)(其時年八十)。後周伐紂。滅商興周。武王稱曰尚父。封其子丁公於齊。喻靜待時機也。
第 47 籤,47,上籤亥宮,梁灝登科,錦上添花色愈鮮，運來祿馬喜雙全；時人莫恨功名晚，一舉登科四海傳。,此卦錦上添花之象，凡事大吉大利也。,守舊變新 運至功成 遂平生志 盡皆是命,"家宅祈保　失物西北　交易阻　尋人至
六甲生男　疾病作福　婚姻合　移徙吉
田蠶八分　自身安　行人遲　山墳利
公訟宜和　求財利　六畜平",梁灝登科。宋朝。書生梁灝字太素。山東人氏。雍熙年間。十八歲考得進士。繼續投考未遂。至八十老齡才一舉登科。狀元及第。
第 48 籤,48,中籤亥宮,韓信掛帥,昆鳥秋來化作鵬，好遊快樂喜飛騰；翱翔萬里雲霄去，餘外諸禽總不能。,此卦昆鵬興變之象，凡事有變動大吉。,昆鳥化鵬 萬禽不能 桂香一折 福祿自增,"求財秋旺　六畜春利　自身吉　公訟勝
婚姻不合　移徙守舊　交易遲　失物西
行人阻滯　疾病祈保　六甲安　山墳安
田蠶中平　家宅利　尋人見",韓信掛帥。韓信。淮陰人。時漢王燒絕棧道。部下將士逃亡甚多。其時。信歸漢逃去。何知之。連夜追信回。翌日王知。怒曰將士逃亡過半。不聞丞相有所追。獨追信。何也。何曰大王如無意東伐。固罷。若與楚爭天下。非信莫當其任。乃拜信爲大將。佐漢高帝定天下。虜魏。破趙。降燕。下齊。滅楚。建十大功勳。初封楚王。
第 49 籤,49,中籤亥宮,王祥求鯉,天寒地凍水成冰，何須貪吝取功名；只好守己靜處坐，待時興變自然明。,此卦水結成冰之象，凡事不用枉求也。,水結成冰 冰消成水 若是營謀 到底如是,"家宅不安　疾病難痊　六甲險　尋人見
自身祈保　山墳大吉　行人遲　公訟和
婚姻不合　求財難　田蠶虧　失物空
移徙守舊　交易阻　六畜損",王祥求鯉。晉。王祥字伏徵。臨沂人。性至孝。事繼母極恭。謹母欲食生魚。天寒冰凍。祥赤身臥於冰上。求之。其冰立解。得雙鯉。持歸。人以爲孝感雲。後官至太保。進公爵。(廿四孝)
第 50 籤,50,中籤亥宮,陶朱歸五湖,五湖四海任君行，高掛帆蓬自在撐；若得順風隨即至，滿船寶貝喜層層。,此卦順風撐船之象，凡事皆順大吉也。,自在休悠 不須着力 財祿重重 無不欣美,"求財利西　六畜春旺　家宅利　尋人至
交易宜遲　移徙守舊　自身吉　公訟虧
婚姻不合　失物西方　六甲安　疾病解
田蠶秋利　山墳南利　行人阻",陶朱歸五湖。(范蠡歸湖)春秋。范蠡。字少伯。吳人。與文種同爲越大夫。吳滅越。蠡與種。爲越王勾踐畫策。卑詞請成。復求民間美女。得西施進於吳。迨滅吳。功成。蠡知勾踐可與同患難。不可共安樂。乃辭官。扁舟泛五湖。止於陶。復以謀生致富。稱陶朱公。凡三徙。方成名。後不知所終。
第 51 籤,51,上籤子宮,孔明入川,夏日炎天日最長，人人愁熱悶非常；天地也解知人意，薰風拂拂自然涼。,此卦人人愁熱之象，凡事隨心從意也。,進退莫疑 自有佳期 營謀用度 不須妄爲,"家宅祈福　六甲生男　行人動　公訟吉
自身謹防　失物北方　田蠶損　移徙舊
求財秋吉　疾病還願　六畜平　山墳吉
交易平常　婚姻合　尋人見",孔明入川。劉備缺地盤。時益州的劉璋。被北方的張魯攻打。想到劉備與他同姓同宗。就讓劉備入益州同抗張魯。孔明隨劉備入益州。詳察地勢。西川一帶。地形險要可攻可守。經孔明多方佈置。西川就成了劉備發源地。
第 52 籤,52,中籤子宮,太白醉撈明月,水中撈月費功夫，費盡功夫卻又無；莫說閒言並亂語，枉勞心力強身孤。,此卦貪求費力之象，凡事勞心費力也,言語難思 費力勞心 宅中憂惱 待遇貴人,"家宅不安　六甲祈保　疾病祈保　公訟和
自身欠吉　行人有災　交易難　失物空
求財中平　田蠶五分　六畜衰　山墳吉
婚姻未就　移徙平常　尋人兇",太白醉撈明月。唐朝詩人。自曰謫仙。被稱詩仙。無酒不歡。醉酒到湖邊。見月在水中。欲抱之。溺斃。年六十二歲。有人見飛來一鯨。上面騎一位白衣仙人。飛到月宮去。
第 53 籤,53,中籤子宮,劉備招親,失意反成得意時，龍呤虎嘯兩相宜；青天自有通霄路，許我功名再有期。,此卦龍吟虎嘯之象，凡事順意有望也。,教去即去 教住即住 自有亨通 到頭必利,"家宅不安　六甲祈保　六畜損　失物見
自身欠吉　田蠶五分　尋人至　疾病安
求財中平　交易難　公訟和　山墳吉
婚姻成就　行人至　移徙吉",劉備招親。劉玄德。即西蜀先主也。爲荊州牧時。甘夫人(劉備妻)新喪。東吳孫權聞知。詐以妹招贅欲賺(軟禁)其人。吳索討荊州。孔明料知。乃授趙雲錦囊計。保先主入東江招親。意弄假成真。娶孫夫人以歸焉。有曰：周郎妙計高天下。賠了夫人又折兵。
第 54 籤,54,下籤子宮,馬超追曹,夢中得寶醒來無，自謂南山只是鋤；若問婚姻並問病，別尋條路爲相扶。,此卦夢中得寶之象，凡事枉費心力也。,物在水中 形影長短 皆有分定 不用商量,"家宅欠安　疾病求神　行人遲　公訟虧
自身謹防　山墳不安　田蠶滯　移徙吉
婚姻待時　求財阻　六畜滯　失物空
六甲祈保　交易難　尋人見",馬超追曹。三國時。曹操殺馬超之父。馬超攻曹操。曹操大敗。曹操脫下錦衣。割短了鬍鬚。騎馬逃竄。得曹洪相救。曹操得以保命。
第 55 籤,55,中籤丑宮,周武王登位,父賢傳子子傳孫，衣食豐隆只靠天；堂上椿萱人快樂，飢飯渴飲困時眠。,此卦接竹引泉之象，凡事謀望大吉也。,接竹引泉 流傳不絕 君子謀望 無不欣悅,"公訟有貴人　疾病禳星　行人動　移徙吉
家宅欠安　求財利　田蠶吉　失物見
自身還願　交易成　六畜損　山墳安
六甲平安　婚姻合　尋人難",周武王伐紂。八百諸侯戰商軍。朝歌兵卒倒戈相向。紂王於摘星樓上自焚。商朝滅亡。武王受冊寶。即天子位。面南垂拱端坐。武王命散鹿臺之財。拆毀摘星樓。發巨橋之粟。釋箕子之囚。封比干之墓。式商容之閭。放內宮之人。又偃武修文。歸馬於南山之陽。放牛於桃林之野。一片安樂景象。
第 56 籤,56,中籤丑宮,祿山謀反,灘小石溪流水響，清風明月貴人忙；路須借問何方去，莫取林中花草香。,此卦船行小灘之象，凡事有貴人助也。,營謀用事 勞心費力 守舊待時 凡事大吉,"求財中平　疾病即安　交易利　尋人至
婚姻遂意　山墳宜修　六甲男　移徙吉
田蠶秋利　家宅安　行人至　失物滯
公訟有理　自身吉　六畜損",祿山謀反。營州柳城。胡人。本姓康。字軋犖山。後冒姓安。更名祿山。唐玄宗時。安祿山爲節度使。與楊貴妃友好。與楊國忠有隙。于山西舉兵謀反。攻打洛陽。又陷潼關。改國號燕。皇帝西逃至四川(蜀)。安祿山於長安燒殺搶掠。後被自己之子所殺。
第 57 籤,57,中籤丑宮,董仲尋親,說是說非風過耳，好衣好祿自然豐；君莫記取當年事，汝意還如我意同。,此卦孩兒見母之象，諸事貴人大吉也。,所用謀望 皆大歡喜 從公用力 如子逢娘,"家宅不安　疾病祈福　六甲女　尋人難
自身平平　求財順　行人阻　失物空
公訟宜和　交易成　田蠶就　山墳吉
移徙守舊　婚姻合　六畜損",董仲尋親。董仲是漢朝董永之子。爲天上仙女下凡與董永結合所生。董仲學得仙法會飛天。董仲欲尋母。至太白山找。於七月七日仙女出現。終見其母。董永遇仙故事見第三籤【董永遇仙】
第 58 籤,58,中籤丑宮,文王問卜,直言說話君須記，莫在他鄉求別藝；切須守己舊生涯，除此其餘都不利。,此卦守舊待時之象，凡事守舊則吉也。,得住且住 可取且踞 莫宜別事 只宜守舊,"家宅平常　疾病欠安　婚姻阻　尋人見
自身不利　山墳宜改　六甲驚　公訟虧
田蠶五分　求財吉　行人遲　失物兇
移徙守舊　交易成　六畜損",文王問卜。周文王善卜卦。紂王召見。文王卜之不吉。必有七年之厄。嚴命其長子依舊法治岐。切莫往外。文王果被紂王軟禁於羑里。後其子往救其父被殺。皆因忘父命離鄉也。文王於羑里從舊藝。編修易經。故文王也是易經作者之一也。(另二位作者是同公與孔子)
第 59 籤,59,中籤寅宮,張良隱山,直上重樓去藏身，四圍荊棘繞爲林；天高君命長和短，得一反成失二人。,此卦守舊隨時之象，凡事待時則吉。,如醉飲酒 只宜守舊 直待時來 無災無咎,"家宅祈福　田蠶半吉　交易成　移徙吉
求財平常　六畜大利　行人至　失物兇
婚姻不合　疾病祈福　尋人阻　山墳吉
六甲作福　自身安　公訟虧",張良隱山。漢。張良。字子房。張良佐劉邦取天下打敗西楚霸王項羽。建立了漢朝。張良知道劉邦此人在打仗時稱兄弟道弟。非常友善。可是得了天下就要殺功臣。變成個暴瘣的皇帝。爲保存性命。功成謝絕人事。他立即隱退不知所蹤。據傳與赤松子仙人遊山玩水去。
第 60 籤,60,下籤寅宮,赤壁鏖兵,抱薪救火大皆燃，燒遍三千亦復然；若問榮華並出入，不如收拾枉勞心。,此卦抱薪救火之象，凡事亦自謹防也。,有千般計 不如莫動 一旦相惹 恐禍歸身,"自身祈保　田蠶不利　家宅兇　尋人杳
求財微微　失物西方　六甲險　公訟虧
交易不合　疾病有驚　行人滯　移徙吉
婚姻不合　山墳平平　六畜損",赤壁鏖兵。三國時。曹操大軍進駐赤壁岸邊。孫權將周瑜。苦無良策破曹軍。聯劉備軍抗曹。孔明祭借東風。黃蓋引火燒連環船。二軍激戰。一片火海。曹軍大敗。史稱赤壁之戰。(鏖指燒殺)
第 61 籤,61,中籤寅宮,蘇小妹難夫,日上吟詩月下歌，逢場作戲笑呵呵；相逢會遇難藏避，唱彩齊唱連理羅。,此卦守舊隨時之象，凡事時吉利也。,佳人在屋 吟唱詩曲 一片歡心 命中禍福,"疾病即痊癒　自身吉　六甲女　尋人至
公訟有理　求財順　行人至　移徙吉
山墳大吉　交易利　田蠶熟　失物兇
家宅安　婚姻成　六畜旺",蘇小妹難夫。宋朝。蘇小妹即蘇東坡之妹。博學多才。新婚之夜。蘇小妹吟詩又出對聯。備三個難題考夫婿。有意刁難新郎秦少游。至第三題苦思着。幸好得蘇東坡暗助。纔可入洞房。有頌曰：文章自古說三蘇。小妹聰明勝丈夫。三難新郎真異事。一間秀氣世間無。
第 62 籤,62,中籤寅宮,唐僧得道,晨昏全賴佛扶持，須是逢危卻不危；若得貴人相引處，那時財帛亦相隨。,此卦神佛暗佑之象，凡事忍耐大吉也。,平平穩穩 四方名顯 改舊從新 亦無兇險,"求財西方　移徙守舊　交易遂　公訟虧
六甲祈福　疾病祈福　婚姻成　失物見
田蠶七分　家宅安　行人阻　山墳吉
尋人西方　自身吉　六畜利",唐僧得道。一天唐僧師徒來到大河邊。佛祖靈山在望。有一獨木橋。爲凌雲渡。唐僧不敢走過。佛祖化身船伕並撐着無底破船。唐僧跌下河中。被船伕救起。這麼一來。唐僧就已脫胎換骨。超凡入聖得登佛道。唐僧就此得證佛道了。唐僧得道唐三藏信姓陳名。十三歲出家。法號玄奘。往天竺(印度)取經。歷盡艱辛。西遊記內述其故事。
第 63 籤,63,中籤卯宮,女媧氏煉石,昔然行船失了針，今朝依舊海中尋；若然尋得原針在，也費工夫也費心。,此卦海中尋針之象，凡事費心勞力也。,福是祿基 祿是福種 說得分明 切宜守謹,"家宅欠利　公訟宜和　求財有　田蠶吉
自身謹防　移徙宜遷　交易成　尋人難
婚姻不合　疾病難痊　六甲阻　失物兇
六畜莫養　山墳暫安　行人滯",女媧氏揀石補天。女媧氏是傳說中的人物。傳說，上古時代，共工氏和祝融氏是天上的二個巨人，有一天，二人打起架來，驚天動地，造成了很大的破壞， 連天也被打破個洞，不停的流下水來。女媧氏是位女神，她在山上揀了許多五色石，用火燒成石漿，把天上的窟窿給補好了。
第 64 籤,64,下籤卯宮,馬前覆水,游魚卻在碧波池，撞遭羅網四邊圍；思量無計翻身出，事到頭來惹事非。,此卦魚遭羅網之象，凡事亦宜提防也。,屋下安身 禍從天降 早覺先防 免遭災殃,"疾病有災險　山墳宜改　六甲驚　公訟虧
交易中平　家宅兇　田蠶損　移徙吉
婚姻不合　自身險　六畜衰　失物兇
行人有阻　求財虛　尋人杳",漢朝。會稽郡人氏姓朱。買臣。夫妻住於陋巷蓬門。家道貧苦。行歌誦書。砍柴賣錢度日。賣柴憑人估值。其妻嫌他貧苦。離他而去。買臣曰。吾年五十當富貴。即時自可報汝。其妻不聽。適田夫後。五十歲時。漢武帝求賢。拜爲會稽太守。其妻自悔有眼無珠。要求再合。願降爲婢妾。伏侍終身。買臣命取水一桶。潑於階下曰。若水可收。則可複合。覆水難收示不能再合。念結髮之情。買臣呼車載其夫婦。判後園隙地與妻及其夫耕種自食。其妻遂投河而死。與夫錢以葬之。
第 65 籤,65,下籤卯宮,孫臏困龐涓,眼前歡喜未爲歡，亦不危時亦不安；割肉補瘡爲甚事，不如守舊待時光。,此卦割肉成瘡之象，凡事只宜守舊待時。,知止則止 知寬自寬 割自身肉 疾痛一般,"家宅不安　婚姻不長　失物難尋　田蠶損
自身口舌　六甲有驚　疾病反覆　六畜損
求財不利　尋人招非　行人阻　公訟虧
交易小人　移徙守舊",孫臏困龐涓。戰國。孫臏齊人。龐涓魏人。同師事鬼谷子。孫臏之學優於龐涓。涓爲魏將。妒嫉臏才。涓以計刖其足。後孫臏假作顛狂。得脫歸。齊威王以臏爲師。將兵伐魏。臏用減竈添兵之法。賺龐涓。追至馬陵道。臏伏弩射擊。涓知無路可逃。在樹下自殺。
第 66 籤,66,下籤卯宮,霸王被困,路險馬乏人行急，失羣軍卒困相當；灘高風浪船棹破，日暮花殘天降霜,此卦船破下灘之象，凡事險阻提防也。,守舊待時 安靜無咎 不用求謀 自在悠遊,"疾病即歿送　婚姻不長　交易敗　六畜損
家宅憂疑　六甲危險　行人阻　尋人杳
自身災耗　移徙莫動　田蠶損　公訟虧
求財破失　山墳不利",霸王被困。楚霸王項羽的軍隊戰無不勝。項羽自以爲天下無敵。韓信率諸侯兵。與楚王大戰於九裏山。十面埋伏圍籍垓下。霸王軍心動搖。項羽突圍至烏江。雖有船接項羽過江。因感到無顏見江東父老。項羽拔劍自刎而死。
第 67 籤,67,上籤卯宮,金精試竇兒,一條金線秤君心，無減無增無重輕；爲人平生心正直，文章全具藝光明。,此卦心平正直之象，凡事安穩無兇也。,心平正直 到底清平 只依本份 天下太平,"求財守慎　家宅安　六甲男　公訟和
行人有信　自身平　田蠶穩　失物見
移徙守舊　交易穩　六畜安　山墳平
疾病禳星　婚姻合　尋人遲",金精試竇兒。竇燕山因行善積德。後生五子。一門顯貴。五子名爲。竇倫。竇信。竇仁。竇儀。竇偃。一日竇儀投宿某客棧。上天要試竇儀之誠心。於派遣金精化爲女子。詐稱鄰家少女。夜叩竇儀房門。竇儀閉戶不納。此女以投水自盡相要挾。竇儀終不爲所動。開門拔劍追女。女子化作一道金光進入地下。竇儀掘地得金一錠。今河北省涿縣就是竇家故居。
第 68 籤,68,中籤卯宮,汾陽祝壽,門廷吉慶喜非常，積善之門大吉昌；婚姻田蠶諸事遂，病逢妙藥即安康。,此卦門廷吉慶之象，凡事順遂也。,積善之家 必有餘慶 忠義之門 拱照福星,"求財春旺　山墳大吉　婚姻成　尋人至
六甲防驚　家宅旺　行人到　公訟勝
移徙如意　自身安　田蠶利　疾病安
失物急尋　交易遂　六畜旺",汾陽王郭子儀祝壽。唐朝大將軍郭子儀。精於謀略。用兵持重。治軍寬嚴得當。深得部下敬服。身經百戰。功勳卓著。歷事玄宗、肅宗、代宗、德宗四朝。勤於職守。一生系國家安危。郭汾陽。做大壽。親友來賀。一片歡樂。喜氣洋洋。其家人出將入相。既富貴亦壽考。七子八婿。皆爲朝廷顯官。據說他做壽那天。家人拜壽時把朝笏（朝見皇帝時捧在手中的那塊板）放在牀上。竟致堆滿一牀。可見家中大官之多。
第 69 籤,69,中籤辰宮,梅開二度,冬來嶺上一枝梅，葉落枝枯終不摧；但得陽春悄急至，依然還我作花魁。,此卦梅花佔魁之象，凡事宜遲則吉也。,一箭射空 當空不空 待等春來 彩在其中,"六甲春實秋虛　交易待時　疾病虛驚　六畜旺
家宅欠利　婚姻遲成　山墳宜改　尋人見
自身作福　行人遲至　田蠶旺　公訟虧
求財謹慎　失物東方",梅開二度。唐朝。梅魁被害。兒子梅良玉獲救。改名王喜童。住在陳日升家。梅魁是日升好友。一日梅花盛開。陳公借梅花拜祭梅公。祈求梅公的後代有日出人頭地。當晚梅花皆被風雨打落。陳公和女兒杏元。梅良玉拜求上天再開梅花一次。果然再次梅花盛開。梅開二度。爲千古佳話。其後梅良玉中狀元。終與陳杏元(陳公女)聯姻。
第 70 籤,70,下籤辰宮,李密反唐,朝朝恰似採花蜂，飛出西南又走東；春盡花殘無覓處，此心不變舊行蹤。,此卦蜜蜂採花之象，凡事勞心費力也。,無覓春色 久雨不晴 求謀用事 不如安靜,"家宅口舌　婚姻不長　疾病有阻　公訟虧
自身小人　六甲虛花　行人杳　失物空
求財破耗　尋人無蹤　田蠶損　山墳改
交易反覆　移徙守舊　六畜損",李密反唐。隋末。李密瓦崗寨之首領。自封魏王。李密手下名將如秦瓊。單雄信。程咬金。紛投唐王李淵。李密與王伯當後亦投李淵。又娶李仁公之公主爲妻。後殺妻反唐。被亂箭射死時三十七歲。
第 71 籤,71,中籤辰宮,文君訪相如,認知蒼龍下九衢，女子當年嫁二夫；自是一弓架兩箭，欲恐龍馬不安居。,此卦一弓架兩箭之象，凡事再合則吉也。,不出重重 事由天命 振放中開 切宜謹守,"六甲先虛後實　交易謹防　行人阻　公訟虧
家宅損失　婚姻再合　六畜損　移徙吉
自身是非　田蠶晚收　尋人見　山墳改
求財勞力　疾病禳星",文君訪相如。漢朝。卓氏有女名文君。新寡。好文詩。聽司馬相如彈琴。遂起心。乘夜奔往相處。談得投機。互傾戀慕。二人私奔出城。至成都結爲夫妻。但家貧。兩夫婦在臨邛市。開設酒店。一個是才子。一個是佳人。兩人都要當爐賣酒。爾後司馬相被漢武帝賞識。在朝廷當官。(九衢。繁華街市)
第 72 籤,72,中籤辰宮,王莽求賢,養蜂須用求他蜜，只怕遭觸尾上針；須是眼前有異路，暗裏深如荊棘林。,此卦結蜂採蜜之象，諸事勞心費力；此卦求甜得苦之象，凡事防範災殃。,事須仔細 不用強求 結蜂採蜜 有甚來由,"家宅欠利　六畜少收　求財阻　公訟虧
婚姻阻隔　移徙莫動　交易遲　失物兇
六甲虛驚　疾病歿送　行人遲　山墳敗
田蠶少收　自身防　尋人難",王莽求賢。漢。王莽依其姑母乃漢元帝之後。官封爲新都侯。爲人謙恭。又廣結豪傑賢能。仗義疏財。后王莽篡漢。改國號爲新。由於實行復古制度。加深人民痛苦。不久劉秀起來推翻王莽。恢復漢室。史稱後(東)漢。
第 73 籤,73,上籤巳宮,陳橋兵變,春來雷震百蟲鳴，番身一轉離泥中；始知出入還來往，一朝變化便成龍。,此卦雷發百蟲之象，凡事遇貴人吉兆也。,雷發時轉 出入兩存 一朝變化 直到天門,"家宅祈福　婚姻成合　六甲男　公訟勝
自身平常　田蠶早生　行人到　移徙吉
求財春利　六畜春利　尋人見　山墳吉
交易貴人　疾病險阻",陳橋兵變。宋太祖趙匡胤。仕局爲檢點。世宗崩。子恭帝立。僅數歲。(趙)奉命往伐河東。兵至陳橋。部下將士以主幼政亂。勸太祖即位。初不許。後乘太祖醉臥。以黃袍加體。乃引兵回東。受周恭帝禪位。(恭帝當年七歲。皇后新寡。兵變比禪讓更合)
第 74 籤,74,下籤巳宮,秦敗擒三帥,似鵠飛來自入籠，欲得番身卻不通；南北東西都難出，此卦誠恐恨無穹。,此卦似鵠投籠之象，凡事多虛少實也。,進身不得 退步爲難 低頭直去 悉在其中,"家宅不安　婚姻刑傷　田蠶缺　失物兇
自身困滯　六甲刑劫　六畜瘟　疾病延
求財小人　移徙不利　尋人杳　山墳絕
交易破耗　行人阻　公訟禍",秦敗擒三帥。春秋時代。秦國的秦穆公不聽老臣蹇公之言。出師侵鄭　與晉人戰於。秦師給晉國誘入險谷。前路被堵塞。兩旁晉兵拋火種磺硝。後面晉兵殺聲震天。秦軍自相踐踏。死傷無數　不敵而至大敗。三個大元帥。俱皆被擒。
第 75 籤,75,中籤午宮,伍員夜出昭關,恰如抱虎過高山，戰戰競競膽碎寒；不覺忽然從好事，切須保守一身安。,此卦抱虎過山之象，凡事險兇驚恐也。,危危險險 前程有阻 若問求謀 到底辛苦,"家宅祈保　六甲有驚　行人阻　移徙守
自身提防　田蠶五分　六畜損　失物難
求財謹慎　疾病祭虎　尋人杳　山墳兇
婚姻難順　交易滯　公訟虧",伍員夜出昭關。伍子胥。春秋時代楚人。楚平王追殺之。日藏夜行。翻山越嶺。至邊境關卡韶關。守關的竟認不出伍員。因他終日焦慮。一夜白頭。後平安過昭關到達吳國。
