Sign_Order,Sign_Order_Num,Fortune_Level,Palace,Current_Hexagram,Change_Trigger,Changed_Hexagram,Fortune_Category,Five_Elements,Symbol_1,Symbol_2,Symbol_3,Symbol_4,Symbol_5,Poem_Text,Interpretation
第 65 籤,65,中下籤,坎宮,既濟,九三,屯,平破,水,木,火,土,金,水,入而公，出而難，厭厭到再三，交加愛不堪。,投人到這件事之中，是輕而易舉的。但一旦涉足進去，想要洗手不幹退出來，卻騎虎難下，比什麼都困難。不是自己沒有準備好退路，而是形勢退人，沒有迴歸之路。比如愛情，只有發出的愛，沒有收回的愛，後悔都嫌太遲，你不得不繼續付出。又比如黑社會，江湖黑道，你瞭解得太多，能撒手不幹下去？又比如一項經濟的投資等等，不勝枚舉。儘管你厭倦得很，卻勢如離弦之箭，發而難收。這種悔恨和不甘，使你的情緒萬分低落，窮於應付，拿不出高招來，你預感到自己會敗得很慘。怎樣變被動爲主動之勢呢？簡單來說，你應當離開當地，去東南方向300公里以遠的一處，暫避一時。待到來年春夏之交，即可平復。如錢財上有些破損，萬不可介意，因爲“平安”二字是不能用金錢可以買到的。
第 66 籤,66,中下籤,坎宮,屯,六二,節,平破,水,木,火,土,金,水,事緩忌速，而且反覆，直到歲寒，花殘果熟。,古話說，欲速則不達。又道是，事緩則圓，這便是本籤的基本意思。舉凡辦事，當急則急，當緩則緩，總要循序漸進，一步一個腳印。萬不可冒冒失失，急功近利，不然就將遭到失敗。何況你所謀求的事情，情況有些變化，反反覆覆，難以把定。直到臘盡冬殘，歲寒將過的時候，條件纔會成熟，你謀求的事兒纔有結果。所以，躁動不安，於事無補，反生逆效。農曆十二月爲丑月，屬土。醜午相害，戌型醜，醜刑末。醜爲四季土。運到長生帝旺之地，主人將創新、暢快，有進時生子升官之慶。 這個時候，卻要注意腹部及腸、胃道的保養和健康。
第 67 籤,67,中上籤,坎宮,屯,六四,隨,持平,水,土,木,金,火,水,乘馬前行，所求吉貞，隨時諧美，缺月重明。,元、亨、利、貞等辭，在易經卦辭中常常反覆出現，如不瞭解此中含意，就很難理解其中卦理。吉貞即是貞吉，稱所佔之事吉，是一件有善結果的事，吉也爲訓善。善果者，福樣也。事情之所以必有一個和諧、美滿的結局，其中一個重要的條件，便是馬。“乘馬前行”，人爲主體，馬爲客體，此爲柔從剛、剛柔相應，如同臣民匝從君王，婦女順從男人是一個道理。 以時間而論，馬的年份爲庚午、壬午、甲午(90、02、14年)等；月份是農曆五月；時辰是中午11一]3時。以上可理解爲開始着手的吉祥時刻。應事的時間在丙、丁、巳、午的年、月、日、時，這些時日就較多，不能一一列舉，你可以翻《萬年曆》作參考。 以人而論，你的幫手或者你所求助的人，以屬馬的爲最佳對象。他們樂於從命，並忠心耿耿、勤勤懇懇爲你效力。你辦不到的事，他們能夠馬到成功。
第 68 籤,68,中籤,震宮,升,九三,師,平,木,命,命,命,命,命,舟離古渡月離雲，人出潼關好問津，且向前行去求住，何須疑慮兩三心。,這支籤，是以離卦爲象藪來斷明事體的。離卦主體，主有南方之財，或有文書之喜，或有爐冶場之利，或因火性人而得財。 潼關在長安以西，黃河河套由北向南，在這裏轉折向東流去，爲秦、晉、豫交界之地。 出潼關，便好開始着手了。當然，這裏的潼關不能狹義理解爲地名，這裏意味着出省界。 一出省界便可以開始行動，目標還是向南。 因爲你對整個事情的策劃，還不夠周全，而且把握不是十分足，穩操勝券還欠火候，心裏總有些疑惑的顧慮。這種擔憂完全沒有必要，只管上前去守住心中意念。有什麼不解的事和爲難之處，只管向人求告，必遇火傍姓氏的貴人，給予你有力的援助。 此籤不利於婦女和少女，如果你是一位未成年少女，則千萬不要離家出走，對你將大大不利，爲害匪淺。
第 69 籤,69,中下籤,坎宮,屯,上六,益,平破,水,木,火,土,金,水,不足不足，難伸心曲，野塘雨過月如鉤，夢斷邯鄲眉黛愁。,有一條古老成語，叫作“黃梁一夢。黃粱，小米，煮一鍋小米飯的時間，做了一場好夢。比喻虛幻，一場空喜。(枕中記》記述一個窮困的盧生在邯鄲(昔趙國都城，河北省內)旅店裏遇一道士，借他枕頭一睡，夢中盧生享盡榮華富貴，醒來時，小米飯還沒有熟透。又如大雨過後的曠野，涓涓的雨水向小塘裏。向低窪處流匯。此時殘月如鉤，星光慘淡，能見度極小。你只聽到流水聲，卻找不到流水，一無所獲，依舊兩手空空，怎能展開緊鎖的雙眉呢？ 結局是令人遺憾的，它無法滿足你的心願，也許是這個心願太高的緣故吧？
第 70 籤,70,中下籤,震宮,井,九五,升,平破,木,火,土,金,水,木,美有堪，堪有美，始有終，終有始。,堪在這裏是能夠預見的意思，美的境界是可以達到的，結局也符合人的願望、而且自始至終都令人滿意。問到婚姻，最是上上大吉，婚有成，因婚有得，夫妻思重如山，情深似海，白首共老。問到財喜，必獲倍利，且圓圓滿滿，無掛無礙。問及出門遠行人，亦爲貞吉，平安無恙，至期而歸，雙手不空。 其他如問訟事、於嗣、失物、疾病，稍微差一些，然略近入意。 問功名、升學機會，是金榜題名，志在必得。 然而，你必須每日口誦“南無阿彌陀佛”數十追，至虔至誠。 即能消災避難，處處平安，無往而不利。
第 71 籤,71,中下籤,震宮,恆,六五,大過,平破,木,火,土,金,水,木,湖海悠悠，孤舟浪頭，來人來渡，殘照山樓。,個性使然，你幹什麼事情都愛孤軍奮戰，獨來獨往，雖然常常能獲些小勝，卻要比別人花費更多的精力和時間，而且殘局還要靠別人來爲你收拾。這一次又是如此。你駕着一時扁舟在茫茫無際的大海中獨行，風雲驟起，波湧浪翻。四顧茫茫，多麼需要有人來給你援手，否則小船將有傾覆的危險，葬身魚腹也未可知。 可喜的是，偏偏你有一個遇貴人搭救於危厄的命造，這回又應驗了。將有三位以上的貴人，給你幫助。引你走出苦海的是第三個，“來人末渡”。這個人不但引領你走出浪谷波峯，還使你能獲得小小的利益。 這個關鍵人物對你當然很重要暖，他的名姓中，有不少水的成份，偏旁部首中有三點水，請多加留意。
第 72 籤,72,中上籤,兌宮,小過,九三,豫,持平,金,火,水,土,木,金,深戶要牢扃，提防暗裏人，莫言無外事，縱好定。,這裏有幾個不常見的詞語，需要先弄明白一下：扃，古代稱門閂叫扃，這裏作動詞用。因挫折而遇到困難，阻滯的意思。門戶雖深，但不能大意，要牢牢關緊，提防遭到外人的暗中算計。這裏包括的範圍較廣泛：比如家中人口、貴重物品、保密信息等等。門外有人，早已虎視耽耽，處心積慮，圖煤已久。問到事情的結局，看似乎穩，有驚無險。其實卻遭到了關鍵性的阻礙，形成一時困頓的疲軟局面。 除了對門戶應當嚴加封鎖和防範外，也要讓所有有關人員守口如瓶，時刻警惕，防患於未然。 另外，就是有關家人不堅牢，有外遇或受人期凌之相，也應加以提防纔是。 最佳保安人員：屬狗的人。
第 73 籤,73,中上籤,巽宮,巽,六四,姤,持平,木,金,火,水,土,木,江海悠悠，煙波下鉤，六鰲連獲，歌笑中流。,成就這樁事情最重要的因素是水。水在五行中的關係是這樣：水由金生，水能旺木，生木，卻被土所剋制。水所對應的方位是北方，旺地冬季，衰於辰戌月(即農曆三月和九月)。在周易裏所對應的卦名叫坎，坎卦北方之神又叫玄武。你在北方安排好這樁事業，將在冬季裏獲得一連事的收穫，令你異常高興，歡歌笑語，神氣悠然。 在整個事業裏，屬豬和羊的朋友，將會給你決定性的幫助。 而生肖爲蛇的人，你卻應當加以提防，不要讓其過多介入，誤了大事。 同時你也要堤防心臟方面的疾病，並且防範失盜的可能損失。
第 74 籤,74,中上籤,乾宮,姤,九二,遁,持平,金,火,水,土,木,金,欲濟未濟，欲求強求，心無一定，一車兩頭。,無論你追求的是物、人，還是利，都難以達到目的，主要原因恐伯還是來自你自己的意念。你的心還沒有打定主意，矛盾得很，所以翻來覆去，不知道應當將車往東邊趕好，還是西邊好？往南去還是朝北開？這樣，你想渡過河去卻一直未能渡過去，你所迫求的目標，也始終不能達到。 唯—的辦法是集中意念，通盤考慮，制定行動計劃，然後果斷堅決的按照計劃逐一實施。這樣，或許還能獲得成功。 濟，在古漢語中是渡河的意思。《易經》第六十四封中，“未濟”的卦辭說：“亨。小狐訖濟，濡其層，無攸利。”一般說來基本上是亨通的。小狐狸就要渡過河的時候，卻沾溼了它的尾巴，得不償失，故不會獲得大利的。
第 75 籤,75,中下籤,乾宮,遁,九四,漸,平破,金,水,木,火,土,金,一得一慮，退後欲先，路通大道，心自安然。,古人說：智有千慮，必有一失；愚者千慮，必有一得。慮，在這裏是考慮、打算的意思，更深一層的理解是顧慮、顧忌的含義。因爲顧慮重層層，瞻前顧後，所以當進不進，畏畏縮縮，恐怕會失去好機會。 籤裏告訴你事情是通向大吉大利的，有一個非常開闊的前景，讓你放寬心，不要亂麻似一團，安安坦坦去營求就是。 但是，整個事件中，退一步還是很有必要的。退，是爲了進。 有時爲了避其鋒芒，免除災禍，往往順時而退，也不失爲吉。 你力量通過這麼長時間的積蓄，已經積少成多，應當可以解除恐懼，去掉憂慮，輕裝上陣了。
第 76 籤,76,下下籤,兌宮,兌,九四,節,破破,金,水,木,火,土,金,難難難，忽然平地起波瀾，易易易，談笑尋常終有益。,波瀾平地湧起，你起初一點心理準備也沒有。而一時又拿不出應變措施來，怎麼不爲難呢？“萬事開頭難”，這種面對開頭難局的勇氣和水平。充分顯示了當事人的大智大勇和待人處事的才能。 遭遇三次以上的難局以後，形勢便會發生根本性的好轉，變得輕鬆多了。 你所卜問的事情就是這樣：先難後易，最終是大吉大利的。你可以放心大膽去做。但要有足夠的精神準備，去面對意想不到的阻力，隨機應變，就能逢凶化吉，遇難呈樣。
第 77 籤,77,下下籤,震宮,大過,初六,夬,破破,木,火,土,金,水,木,心有餘，力不足，倚仗住春風，一歌一曲。,心有餘而力不足，常常會使人喪失信心和勇氣，貽誤戰機，敗下陣來，這是不足取的。力不足，爲什麼不能用些巧力，借力打力，四兩撥千斤？當你這次處於力不足的處境中時，應當仰仗春風了。借仗春風，是有講究的。這就需要你尋求有實力的人，作爲你的堅強後盾，這樣纔能有恃無恐。當然，你必須使這種有實力的人相信，他的喜怒哀樂，他的所有的利害得失，都與你利害相關，休慼與共。這樣，才能得到及時的援助，這與“同人”一卦的九五爻意很近似的。 這位鼎力相助的貴人來自東方，是一位生肖屬龍的朋友，在他的姓氏中，有“木”作爲偏旁。當他作爲不速之客，出現在你面前的時候，你千萬不要讓他輕易走掉，不然太可惜了。
第 78 籤,78,中下籤,乾宮,否,九五,晉,平破,金,水,木,火,土,金,身不妥，心不安，動靜兩三番，終朝事必歡。,是什麼因素決定了你心身不安、擔驚受怕呢？是事情本身所具備的風險值太大了。你所營求的事物，對你來說可算是—個陌生的領域，它的特殊規律你一點也掌握不到。可以說是一個十足的門外漢。可是你盲盲目目，硬着頭皮，要去嘗試一番。一經嘗試，卻大出所料，你的心裏不免動搖，爲自己的盲目投人開始耽心受怕了。 靜與動的交替，組成了“賁”卦。“卦，亨，小利有攸往。” 事物本身五光十色的華麗外表，使你終於不再迷惑，你將撥開豪華的飾物，豔麗的外表，迅速掌握它的實質，取得成功的經驗。 這一回將小有獲利，更可喜的是你積累了一次經驗，由外行逐漸變成內行，當然可喜可貿。
第 79 籤,79,中下籤,兌宮,鹹,九五,小過,平破,金,水,木,火,土,金,事了物未了，人圓物未圓，要知端的信，日影上琅。,事情告一段落，算是結束了，但還有物質問題留下了一個尾巴，得不到完全的了結。當事的人，也安然無恙，得以與親人團圓，但仍然是物資上受到一定程度的虧損。 要知道這其中的原委，當太陽照着琅樹的時候，便一目瞭然了。琅是傳說中的寶樹，喫了果實能長生不老。果實的形象頗有些類似擯榔。 這種字面上的解釋，還是讓人弄不明白。筆所也不便泄露天機，但還是給你一點指引。有一個籍貫洞庭以南的人，對此事情清楚得很，而且掌握了這個未了結的物資支配權，你可以試着去求求他。你不要給他贈送什麼貴重物品或金錢，他會感到羞辱而反感。 這個湖南人愛喫檳榔，你不要在夜裏去會他，如果硬要追回物資的話。
第 80 籤,80,中下籤,巽宮,無妄,六二,履,平破,木,火,土,金,水,木,木向陽春歲，三陰又伏根，樵夫不知道，欲砍作柴薪。,你精心種植，長期培養的果樹，在陽春三月間萌芽成長，一派生機。可是當嚴冬來臨，它又變得蕭條，光禿禿地枯敗了。然而，這只是一種表象，果樹那勃勃的生機，潛伏在根部，深埋在土裏。樵夫，這個本不相干的外人，他哪裏明白這棵樹的價值？在他的眼裏，只認作是柴火。三下五除二，揮動斧子就砍。這支籤告訴你：使你擔心的事情，確實有一個對頭。這個人來自西北方向，屬雞或者猴、狗。也可能是三個人。其中爲首者屬雞。他們都不是你的同行，職業中都與金屬、刀具極有關聯。 l970年出生的那個人最有危險性。 當然，這個人決不是有意與你爲敵。只是不明其中道理，按照他自己的意願行事而已。如何避免這慘重的損失。就要你自己拿出應付的辦法來。好在你心中有底，當然知道如何去應付。
第 81 籤,81,下下籤,巽宮,巽,上九,井,破破,木,火,土,金,水,木,一月缺，一鏡缺，不團圓，無可說。,世事難以兩全。東坡先生曾頗有感慨地喟然長嘆：“人有悲歡離合，月有陰暗圓缺，此事古難全。”現實生活常常是殘酷無情的。破鏡重圓，只能在少數藝術作品的結尾部分裏顯現，令好心的觀衆在深深的遺憾裏，得到一些安慰。梁山伯與祝英臺的悲愴結局裏，二人終於化成彩蝶，雙雙飛舞在花叢中，那也已經不是今生，而是來世了。鏡花水月一場空，更何況月兒殘鏡兒缺，沒有團圓的可能。 人們都希望能修補殘缺的昨日之夢，殊不知，累累的修補痕跡，縱橫交錯，點點斑斑，毫無美感可言。 天涯何處無芳草？朋友，打起精神抬起頭，去擁抱明天光輝燦爛的朝陽。
第 82 籤,82,中上籤,坎宮,明夷,六二,泰,持平,水,土,木,金,火,水,車馬到臨，旌旗隱隱月分明，抬安討數，光大前程。,一場緊鑼密鼓的人事鬥爭，在暗地裏展開。不少人態度暖昧，閃閃爍爍，使你難以分清誰是敵人，誰是朋友？怪不得旗幟不鮮明，一開始你自己也受到矇蔽，對周圍的局勢，沒有一個正確的認識。直到一個女貴人(月，太陰星)乘車而來，事情纔有了眉目和頭緒，一切才得以真相大白，你也才恍然大悟。 這位女貴人的職業是律師、教員或司法官員。並不需要你刻意尋找，她會適時地來到你身邊，指導你用拉一派打一派的權術，去駕馭整個局面。 事情朝大吉的方向發展，你不要慌張，亂了陣腳。
第 83 籤,83,中籤,震宮,豫,六五,萃,平,木,命,命,命,命,命,我何宿，我何宿，海來河北成名祿，一段神光直衝久瀆。,請你告訴我，我的歸宿在哪兒？你問。朋友，你運交華蓋，與文化科技事業結下了不解之緣。 你來自於海。也許是大海之濱，也許是你生長的地方的名稱，與大海有關連。你將要去的地方是河北、這個河北，不是單指黃河以北的那個省，也不僅僅指首都北京、它的範圍很廣泛，泛指北方。也可能是萊菌河、亞馬遜、曼哈頓、塞納、泰晤士……在那裏，你將獲得名譽和學位，並且收入頗豐。 神格庇佑你一段相當長的時期，讓你取得較有貢獻的大成就。前程無量，還望珍重，注意身體，保護好自己的腸胃，免道疾思。專心致力於學問的追求，莫問窗外鬧事，當有驚天動地的學術成就問世。
第 84 籤,84,中上籤,巽宮,小畜,九二,家人,持平,木,金,火,水,土,木,金鱗入手，得還防走，若論周旋，謹言緘口。,你終於獲得這寶貝，它金光閃閃，個大體肥，令你喜不自勝，簡直要得意志形了。可是且記住——這玩意兒，你並沒有真正擁有，目前還存在着走失、流失的危機。發了大財，卻又得而復失，一夜之間金子變成水流瀉了，令人多麼遺憾。有什麼辦法可以防範這一損失？這便是財不露白了。不但不能讓人過目，更不能讓人耳聞。那就些須緊緊閉上你的嘴巴，並且讓知情人也閉上嘴。平時與人交談，要小心謹慎不可觸及這個方面。拐彎抹角的話來套你，也不要上當，不可搭腔。更要識別人家的激將法、保持冷靜，一笑置之。緘，就是封閉的意思。 過了一段日子，時過境遷，這些財寶才真正屬於你自己。這一歲月，你將過得很平淡，難免緊張兮兮，可以選擇象棋來消遣，不要做寫字練書法之類舞文弄墨的事情。因爲文字是語言的另一種表達的方式，極容暴露。
第 85 籤,85,中下籤,艮宮,中孚,九五,損,平破,土,金,水,木,火,土,傾一杯，展愁眉，天地合，好思爲。,將滿杯的美酒傾倒在地，豈不可惜？恰恰相反，這會使你一層愁眉，心情舒暢，神智清醒，因而得到一個應變的最佳方案。常言道，酒不解真愁。又道是，醉後添杯不如無。那麼，看似是小利，其實是大害的誘惑，我們主動將其放棄，不是將有害變爲有利麼？ 天與地合，乾與坤合，組成一個無往不利的泰卦。當你終止了不當的行爲，煩掉那杯不該屬於你的酒，一切將會從頭開始，安享康泰，萬事亨通，豈不是一件讓你感到非常快慰的大好事？
第 86 籤,86,下下籤,乾宮,不雅,初六,益,破破,金,水,木,火,土,金,野鬼張虧射主人，暗中一箭鬼瑰驚，忽然紅日沉江海，難破空中事元明。,這首籤詩內容不少，而且較曲折，令人難解其中趣味。野鬼張弓搭箭，瞄準主人射了過來，好不驚險，“明槍易躲，暗箭難防”。何況射箭的不是普通的人，而是野鬼。商朝時，高宗討伐匈奴，攻打鬼方部落，整整用了三年的時光，人馬高度疲憊，最後才勉強取勝。這裏的野鬼便可理解成爲你的正北方向，一個曾受你攻擊的對象，爲復仇而來，而主人，便是所卜之事的當事人，很有可能是你自己。 你不但被這鬼方部落的小人暗箭中傷，也被他那猙獰的恐怖形象所驚嚇，簡直嚇虛了膽。“忽然紅日沉江海”，離爲日，爲火；坎爲水，水在火上，這種天相組成了“既濟”一卦，本卦的九三爻概括了這層意思：需整治內外，以防苟安。 然而憑空又來了麻煩，你也說不清道不明。小人的謠言實在厲害，雖然你將有三年那麼長的時間受到困惑，但終於會洗刷自己，戰勝小人。你不可自招憂悶，心情要愉快些。
第 87 籤,87,上上籤,離宮,同人,九五,離,持持,火,水,土,木,金,火,福星照吉宿，有日臨青天，真龍飛天現，下載到明庭。,你遇上了一生中最興旺的時期，所卜求的事也大有作爲，如日中天。陽光普照，青龍飛天，都是乾卦的象徵。該卦極具陽剛之氣，是力量的體現。中正和順，得大吉利，特別是秋冬之季得到此籤最爲上乘，其它季節則稍次之。夏天佔得，恐有禍事。巨龍騰躍天際，利於出現大人。無疑地，你將獲得一位權威人士的扶助。求名得名，要利獲利。 另外，此籤還有幾個有關的信息：你適宜出門遠行，宜人京城大都，西北方向。去拜見大人、有德行之人、貴官，對你會有很大的幫助，你將在出門中得到財富。 姓名別名中帶有金旁的人，是你的大貴之人。 另外，你要多多留意自己的頭部、面部的疾病和外來的傷害。
第 88 籤,88,中上籤,震宮,豫,上六,晉,持平,木,金,火,水,土,木,獨釣寒潭，中途興瀾，水寒魚不餌，空載明月還。,深潭之水，極不正常，清冷寒測。那些個爲數不多的魚，好象特別清高。遊哉悠哉，對於你所投的誘餌，毫不在意，絲毫也沒有要嘗試—下的慾念。有魚不上鉤，你只好空手回程了。可是，你並不是一個沒耐性的人，而且從滿懷希望開始，你還是留戀了很大一陣子。這中間，出了些小麻煩。讓你受了些驚嚇，而不久便化解了，只是稍微退財折災，有驚天險。 這一簽所預示的結局是很差的，勞心勞力，沒有收穫，所幸的是自己身體方面、家人方面沒有大礙，該說是不幸中的大幸
第 89 籤,89,中上籤,離宮,渙,九五,蒙,持平,火,水,土,木,金,火,不歸一，勞心力，貴人傍，宜借力。,事多雜亂，心緒不寧，勞神費力搞得你疲憊不堪，而且不知道下一步該如何是好。你應當集中精力去辦好一件事，心要歸一。其它的事情都要擺下來，緩一步再說。 你應當向南方發展。除了坐船以外，其它任何一種交通工具都適合你。有一個性氏中帶立人傍的貴人，將會給你有力的指導和助力。而且他的電話號碼的首位有三種可能的數字：3、2或7。他所居住的地方的郵政編碼的尾數也可能是3、2或7。 紫色和紅色是你此行的吉祥色彩，你在衣着、飲食以及包裝品上，要多加註意，有意識地去選擇，不要根據平素的喜好。
第 90 籤,90,中下籤,離宮,渙,初六,中孚,平破,火,土,金,水,木,火,擊盡月當中，光輝到處通，路途逢水順，千里快如風。,這首詩籤所表達的含義由“坤”和“巽”兩卦組成。夜空晴朗，萬里無雲，明月當頭，這便是太陰星高照，上卦爲坤。巽爲雞，如風行天下，爲下卦。這兩卦結合組成“觀”卦。 “觀”表示已有較高的威望在民衆之中，只須多加觀察，不帶任何偏見，以公正的立場，作出決斷，指揮手下人去幹就行。不必事事親力親爲，事情當向吉的方向發展。 觀卦同時也象徵八月之封，也就是說最旺的季節是中秋。 另外，本籤的另一個重要因素是水。水在五行中與八方的關係。也不能不告訴你：水，旺北，相西，休東，囚南。旺，相可以理解爲吉利和發達，休、辦則反之，總之，“利主不利客”，比如經商，一項生意利於主動去找別人做，而不利於別人找上門來。其它事情也都是如此。
第 91 籤,91,下下籤,震宮,恆,九四,升,破破,木,火,土,金,水,木,劍戟列山林，盜賊必來侵，敗走擒搜定，卦侯蔭子孫。,山林中刀光劍影道，劍戟如林，那些盜賊早巳蠢蠢欲動，必定會來一次襲擊的行動。你也早就未雨綢繆，防意如城，作好了充分的準備，有周密的應對計劃。你將不但要擊敗對方的襲擊，還要將對方一網打盡，搗毀敵巢，爲地方百姓的安寧，作出巨大的貢獻。 你將獲得上司的嘉獎，並且職務有升遷。而且因爲你造福於一方，有陰功而使你的子孫受到你的福廕。 但你也得罪於江湖之人，恐怕結怨過深，將來有難。所以，你在很長的一段時間內不要喫牛肉、羊肉和雞、鴨。居住的家宅，也須背山近石爲宜，或者在客廳內置石山盆景，也可以使你避免一定的兇藪。
第 92 籤,92,中上籤,兌宮,蹇,初六,既濟,持平,金,火,水,土,木,金,岸闊水深舟易落，路遙山險步難行，蛇安自有通津日，月上天空分外明。,籤詩首兩句以行舟和徒步兩種運動方式，形象地表達了兩種不同的效果，指明事情的成功顯重要的因素是水。落，就是下的意思，因爲岸闊水深，舟船容易順流而下。而另一個因素土，則在整個事件上起相反的破壞性的作用。蛇安，指季節和時間。九月九日重陽節後，蛇入土穴開始冬眠期，從此時起不再作害。那時候、將可通達在華南地區，還會更晚一些時候。月上天空，分外分明，當然一團圓月，寓意爲事情的圓滿成功。 讓我們再看水和士，水的方位在正北方向，季節是冬天，生肖屬象爲豬、所對應的專卦名爲坎。水的最佳時辰是中，即下午3至5時之間。貴人的姓氏筆劃中當有點水旁，極有可能爲江湖之人。土則在夏秋，西南方向，此不利。
第 93 籤,93,中下籤,巽宮,小畜,上九,需,平破,木,火,土,金,水,木,擬欲遷而系可遷，捉防各處惹勾連，前途若得陰人引，變化魚龍出大淵。,這裏所謂的遷，不僅是指搬遷，所涉的範圍很廣，泛指變動。包括居地、職業、服務場所、投資項目、障礙物、離家出走、婚變、遷墳等等。 回答這種變動慾念是徹底否定的；未可。從表面上看，這種變動是有益的喜事但卻會因此而帶來不吉的災禍。有時，我們常在無意之中，觸犯地煞而往往不明白災自何處來，豈不冤哉枉矣。 該怎麼辦？須聽一位女性貴人的指點。當然決不是指一般的女巫之類，陰人，通常就是指的女性。有時候，一個女人一句莫名其妙的話，使你模頭不知腦，殊不知她竟是在指點迷津。能夠讓你這條魚變化爲龍的女性，姓氏筆畫中當有點水旁，比如：沈、冰、洋、江……
第 94 籤,94,中上籤,坤宮,比,六二,坎,持平,土,木,金,火,水,土,一人出，一人來，清風明月兩相猜，獲得金鱗下釣臺。,如果你是一位女性，佔問的是關於戀愛、婚姻之事，那結局將是很明顯的：你在這場三角之局中，將要戰勝情敵，獲得你的心上人。成爲人主者，你自然是很得意的，但最終你也會從釣臺上下來，但願你不是被推下，那真太慘了。老子說：“福分禍所倚，禍兮福所伏”，闡述的就是這樣一層辯證關係。如果佔問投資事業，獲利非淺，將使你喜出望外。 如果佔問疾病，也是能得以康復，根除疾患，大吉大利。 如果佔問農事(含養殖業)亦是上上大吉，所有投資(人資、財資)均可數倍獲利。 總之，只要不是建築在別人受苦受難的基礎上，所有付出代價的投入，都將成倍收益。
第 95 籤,95,中上籤,坤宮,比,上六,不雅,持平,土,木,金,火,水,土,喜來隱悲，已遭大雨狂風吹，古木木當槽，人人盡道不堅牢。,喜事來臨，卻伴隨着悲哀，讓你笑一陣哭一陣。比如女兒出嫁，應當是成人之喜，然而你卻百倍牽掛，放心不下，不覺悲從中來，涕淚橫流。當然，這還僅僅是指情感而言。其它福禍相因，喜中含悲的事例，不勝枚舉。紅日當空，吉陽高照，驟然間天昏地瞎，一場暴雨狂風襲來，將好事衝散，轉喜爲憂。風雨交加，是坎和巽組成的卦象，風在上，水在下，木在水上，舟行水裏，名叫“渙”卦。 渙，有離散之意，這便是悲的根源。 沉香古木，當作棟作梁，但卻被當作食槽、渡槽在使用，得位不當，沒有能夠充分發揮其功能，反而被不當地消耗掉。沉香，檀木古木，往往用於廟宇塑像，怎麼能當槽用？你當沉住氣，積極改變自己的處境，得到對自己相適應的位置。宜改向東方發展。
第 96 籤,96,中下籤,離宮,同人,初九,遁,平破,火,土,金,水,木,火,可以得百里之命，可以託六尺之孤，鍾期既遇毋延誤，笑呼呼，他鄉聚首樂康和。,籤詩中的三例典故，都是發生在春秋時代，故事中的主人公又都是生死之交、忠肝義膽的豪爽壯士。秦穆公計劃起用從奴隸中找回的百里溪，要委以重任。百里溪可謂一步登天，可他卻推辭不受，向穆公推舉了賢士蹇叔，認爲這個朋友比自己更能勝任。秦穆公便同時讓他們當上了上大夫，共同處理國事。 晉景公時，司冠(官職，相當司法部長)屠岸賈爲爭權，抄殺趙盾滿門。趙氏門客公孫杵臼在朋友程嬰的協助下，冒着生命危險救下了趙氏孤兒趙武。爲了安全脫離，公孫杵臼主動攜假嬰兒自首，被殺。程嬰得以安全將孤兒哺養長大，二十年後，趙被恢復祖業並爵位。程嬰爲告慰地下老友公孫杵臼，自殺身亡。 晉國上大夫俞伯牙，結識楚國民間音樂家鍾子期，得遇知音，聲氣相通結爲人拜之交。
第 97 籤,97,下下籤,巽宮,巽,九五,蠱,破破,木,火,土,金,水,木,報道土林，春色鮮明，提鞭快着，馬上行程。,上林苑，秦二世修建於長安，是專門供皇帝遊獵的場所。來自上林的命令，召你趕到那兒去，皇上讓你陪他圍獵取樂。當然你也許會受到寬獎和封賜，前景是非常樂觀的。趁着春光美好的天色，趕快動身吧。着，在這裏指穿衣着裝，當動詞用。 這首籤詩的意義也很明快的，寓意一條意外的好消息。將敦促你趕往吉祥之地，時間是春天農曆二、三月之間，西北方向財氣大動。 迅速，聞風而動，刻不容緩便是此籤的核心。你應當早有這種心理準備，消息一來便要開始動作，因爲此事不容遲緩，否則轉瞬即逝。如果趕去太晚，便如圍豬已畢，那時你何功之有？太陽星高照，主馬爲吉祥物。你可與姓氏中帶有金旁的人，或姓氏中帶有金屬字樣者爲夥伴，共同完成大業。堤防火旁人的阻礙，打貧，雖有驚無險，也看一驚。
第 98 籤,98,下下籤,坤宮,需,九二,既濟,破破,土,金,水,木,火,土,鼠入上穴，最可安身，日中不見，靜夜巡行。,籤詩四句，暗示答案爲“子”，但仍不是最終答案，要視所測事物的類別。問到官訟私訴一類鼠人上穴，正合“字”。文字依據尤重要，籤文字合同時要多多留神，如逢女性子年或子日生人化解，必化險爲夷，穩操勝券。 問到失物，當主夜間三更時能找回，所受損失不輕，去了一半。竊物者當爲鼠年生人，此非初次作案。走失方向爲北。 問及婚戀，安中有女，子女配合，自然是好。女兒離家嫁良人。雙方需要一位爲鼠年或鼠時生人。姻緣首靠文字相交，或信件或廣告、或書冊，漸漸聯絡。初次見面，需夜間爲好，白天不宜。 問及疾病，恐防半夜子時有閃失，需精心加強診治和護理。 特別腔、腹積水患者，更要留神，不可鬆懈。
